Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,DBSCAN_Cluster
326,12,77556.46,2,5,5,255,At Risk,0,-1
2,8,4921.53,5,4,5,545,Loyal Customers,0,0
75,5,2019.4,3,4,4,344,Regular Customers,0,0
19,4,4428.69,5,3,5,535,Potential Loyalist,0,0
310,1,334.4,2,1,2,212,At Risk,1,0
375,1,300.93,2,1,2,212,At Risk,1,0
36,10,2849.84,4,5,4,454,Loyal Customers,0,0
204,2,406.76,2,2,2,222,At Risk,0,0
232,1,1079.4,2,1,3,213,At Risk,0,0
214,2,947.61,2,2,3,223,At Risk,0,0
23,6,6371.73,4,4,5,445,Loyal Customers,0,0
33,3,18287.66,4,3,5,435,Potential Loyalist,0,0
2,5,3887.07,5,4,5,545,Loyal Customers,0,0
58,10,8873.39,4,5,5,455,Loyal Customers,0,0
52,8,4252.89,4,4,5,445,Loyal Customers,0,0
287,4,511.25,2,3,2,232,At Risk,1,0
3,11,5356.23,5,5,5,555,Champions,0,0
110,2,552.0,3,2,2,322,Regular Customers,0,0
8,4,1313.1,5,3,4,534,Potential Loyalist,0,0
291,2,641.38,2,2,3,223,At Risk,1,0
634,1,500.24,1,1,2,112,At Risk,1,0
4,1,168.9,5,1,1,511,Potential Loyalist,0,0
628,1,917.6999999999999,1,1,3,113,At Risk,1,0
413,3,1791.15,1,3,4,134,At Risk,1,0
51,7,4316.56,4,4,5,445,Loyal Customers,0,0
45,5,4067.38,4,4,5,445,Loyal Customers,0,0
72,3,1298.04,3,3,4,334,Regular Customers,0,0
311,3,1127.65,2,3,3,233,At Risk,1,0
25,4,2989.2200000000003,4,3,5,435,Potential Loyalist,0,0
11,2,457.5,5,2,2,522,Potential Loyalist,0,0
390,2,503.15,2,2,2,222,At Risk,1,0
315,4,3426.32,2,3,5,235,At Risk,1,0
130,2,5416.32,3,2,5,325,Regular Customers,0,0
82,4,1620.22,3,3,4,334,Regular Customers,0,0
22,11,9676.300000000001,4,5,5,455,Loyal Customers,0,0
5,5,1845.31,5,4,4,544,Loyal Customers,0,0
185,5,1850.56,3,4,4,344,Regular Customers,0,0
29,2,585.27,4,2,2,422,Potential Loyalist,0,0
379,1,1938.4,2,1,4,214,At Risk,1,0
338,2,401.9,2,2,2,222,At Risk,1,0
415,1,143.94,1,1,1,111,At Risk,1,0
16,8,3901.11,5,4,5,545,Loyal Customers,0,0
403,3,1433.33,2,3,4,234,At Risk,1,0
80,1,549.84,3,1,2,312,Regular Customers,0,0
22,6,2724.84,4,4,4,444,Loyal Customers,0,0
591,1,234.75000000000003,1,1,1,111,At Risk,1,0
72,6,2399.4500000000003,3,4,4,344,Regular Customers,0,0
64,2,1272.48,3,2,4,324,Regular Customers,0,0
19,15,4721.17,5,5,5,555,Champions,0,0
674,1,931.43,1,1,3,113,At Risk,1,0
36,2,2409.9,4,2,4,424,Potential Loyalist,0,0
46,1,1635.6599999999999,4,1,4,414,Potential Loyalist,0,0
119,7,1962.3,3,4,4,344,Regular Customers,0,0
414,1,205.25,1,1,1,111,At Risk,1,0
303,1,84.3,2,1,1,211,At Risk,1,0
323,6,1256.9,2,4,4,244,At Risk,1,0
50,2,1019.36,4,2,3,423,Potential Loyalist,0,0
682,1,63.24,1,1,1,111,At Risk,1,0
149,1,1710.39,3,1,4,314,Regular Customers,0,0
22,5,6390.36,4,4,5,445,Loyal Customers,0,0
50,5,1708.1200000000001,4,4,4,444,Loyal Customers,0,0
33,8,4340.7699999999995,4,4,5,445,Loyal Customers,0,0
79,7,23419.29,3,4,5,345,Regular Customers,0,0
309,3,1013.71,2,3,3,233,At Risk,1,0
410,1,346.9,2,1,2,212,At Risk,1,0
75,6,2596.93,3,4,4,344,Regular Customers,0,0
67,4,999.45,3,3,3,333,Regular Customers,0,0
217,6,952.41,2,4,3,243,At Risk,0,0
24,28,144458.37,4,5,5,455,Loyal Customers,3,-1
657,1,202.56,1,1,1,111,At Risk,1,0
3,20,6797.41,5,5,5,555,Champions,0,0
113,4,2021.2,3,3,4,334,Regular Customers,0,0
386,2,503.01,2,2,2,222,At Risk,1,0
64,1,600.39,3,1,2,312,Regular Customers,0,0
16,6,1098.6,5,4,3,543,Loyal Customers,0,0
96,17,5231.8,3,5,5,355,Regular Customers,0,0
1,10,2622.39,5,5,4,554,Loyal Customers,0,0
163,4,3340.03,3,3,5,335,Regular Customers,0,0
78,2,1741.41,3,2,4,324,Regular Customers,0,0
195,2,1345.21,2,2,4,224,At Risk,0,0
22,3,825.8,4,3,3,433,Potential Loyalist,0,0
26,9,7956.46,4,5,5,455,Loyal Customers,0,0
9,8,6204.41,5,4,5,545,Loyal Customers,0,0
43,1,256.4,4,1,1,411,Potential Loyalist,0,0
36,27,10432.22,4,5,5,455,Loyal Customers,0,0
43,5,5059.32,4,4,5,445,Loyal Customers,0,0
1,10,16794.14,5,5,5,555,Champions,0,0
85,3,1103.43,3,3,3,333,Regular Customers,0,0
80,6,13925.93,3,4,5,345,Regular Customers,0,0
100,1,509.01,3,1,2,312,Regular Customers,0,0
2,39,12683.4,5,5,5,555,Champions,0,0
14,2,2906.85,5,2,4,524,Potential Loyalist,0,0
683,2,1142.88,1,2,3,123,At Risk,1,0
462,2,859.2,1,2,3,123,At Risk,1,0
367,1,173.55,2,1,1,211,At Risk,1,0
3,1,172.06,5,1,1,511,Potential Loyalist,0,0
732,1,485.31,1,1,2,112,At Risk,1,0
21,5,5005.46,4,4,5,445,Loyal Customers,0,0
22,2,434.98,4,2,2,422,Potential Loyalist,0,0
58,1,1002.3100000000001,4,1,3,413,Potential Loyalist,0,0
243,1,476.49,2,1,2,212,At Risk,0,0
44,1,449.45,4,1,2,412,Potential Loyalist,0,0
22,6,4835.89,4,4,5,445,Loyal Customers,0,0
156,5,688.2,3,4,3,343,Regular Customers,0,0
11,8,12669.88,5,4,5,545,Loyal Customers,0,0
17,2,430.57,5,2,2,522,Potential Loyalist,0,0
134,1,707.09,3,1,3,313,Regular Customers,0,0
56,5,16679.78,4,4,5,445,Loyal Customers,0,0
73,10,5879.95,3,5,5,355,Regular Customers,0,0
44,3,3181.04,4,3,5,435,Potential Loyalist,0,0
66,8,2995.91,3,4,5,345,Regular Customers,0,0
71,4,1777.49,3,3,4,334,Regular Customers,0,0
605,1,454.36,1,1,2,112,At Risk,1,0
456,1,326.65,1,1,2,112,At Risk,1,0
94,2,826.88,3,2,3,323,Regular Customers,0,0
19,2,1189.59,5,2,3,523,Potential Loyalist,0,0
53,4,1344.78,4,3,4,434,Potential Loyalist,0,0
10,8,1212.05,5,4,3,543,Loyal Customers,0,0
17,2,742.1899999999999,5,2,3,523,Potential Loyalist,0,0
682,1,56.73,1,1,1,111,At Risk,1,0
423,1,132.8,1,1,1,111,At Risk,1,0
188,5,3670.74,3,4,5,345,Regular Customers,0,0
523,2,3070.54,1,2,5,125,At Risk,1,0
690,1,211.95,1,1,1,111,At Risk,1,0
2,79,39918.19,5,5,5,555,Champions,3,-1
32,19,16249.289999999999,4,5,5,455,Loyal Customers,0,0
29,5,3928.0499999999997,4,4,5,445,Loyal Customers,0,0
17,31,12372.75,5,5,5,555,Champions,0,0
54,2,1149.64,4,2,3,423,Potential Loyalist,0,0
16,23,14083.91,5,5,5,555,Champions,0,0
23,9,20276.37,4,5,5,455,Loyal Customers,0,0
4,1,680.99,5,1,3,513,Potential Loyalist,0,0
11,1,527.2,5,1,2,512,Potential Loyalist,0,0
28,7,5464.85,4,4,5,445,Loyal Customers,0,0
23,15,12185.51,4,5,5,455,Loyal Customers,0,0
576,29,23691.4,1,5,5,155,At Risk,1,-1
17,19,5097.18,5,5,5,555,Champions,0,0
33,12,6354.1,4,5,5,455,Loyal Customers,0,0
529,1,708.1,1,1,3,113,At Risk,1,0
432,1,1037.28,1,1,3,113,At Risk,1,0
731,1,285.29999999999995,1,1,1,111,At Risk,1,0
10,3,1298.66,5,3,4,534,Potential Loyalist,0,0
336,1,334.93,2,1,2,212,At Risk,1,0
5,21,9823.64,5,5,5,555,Champions,0,0
39,1,460.40000000000003,4,1,2,412,Potential Loyalist,0,0
63,3,715.21,3,3,3,333,Regular Customers,0,0
166,2,433.74,3,2,2,322,Regular Customers,0,0
16,9,1815.27,5,5,4,554,Loyal Customers,0,0
641,1,357.4,1,1,2,112,At Risk,1,0
620,2,45.34,1,2,1,121,At Risk,1,0
82,3,6248.5,3,3,5,335,Regular Customers,0,0
21,3,403.70000000000005,4,3,2,432,Potential Loyalist,0,0
560,1,393.72,1,1,2,112,At Risk,1,0
23,19,5955.21,4,5,5,455,Loyal Customers,0,0
337,1,2169.39,2,1,4,214,At Risk,1,0
96,5,3723.87,3,4,5,345,Regular Customers,0,0
584,1,1126.0,1,1,3,113,At Risk,1,0
18,4,779.05,5,3,3,533,Potential Loyalist,0,0
409,1,955.2,2,1,3,213,At Risk,1,0
233,1,73.5,2,1,1,211,At Risk,0,0
134,4,1844.06,3,3,4,334,Regular Customers,0,0
26,2,397.88,4,2,2,422,Potential Loyalist,0,0
284,1,176.5,2,1,1,211,At Risk,1,0
143,9,5178.02,3,5,5,355,Regular Customers,0,0
429,1,3084.02,1,1,5,115,At Risk,1,0
66,2,132.18,3,2,1,321,Regular Customers,0,0
113,1,612.29,3,1,3,313,Regular Customers,0,0
267,2,1597.76,2,2,4,224,At Risk,1,0
353,1,383.7,2,1,2,212,At Risk,1,0
78,4,2648.62,3,3,4,334,Regular Customers,0,0
28,5,2481.6,4,4,4,444,Loyal Customers,0,0
1,5,2056.89,5,4,4,544,Loyal Customers,0,0
64,2,716.54,3,2,3,323,Regular Customers,0,0
79,5,2634.26,3,4,4,344,Regular Customers,0,0
143,1,599.68,3,1,2,312,Regular Customers,0,0
39,2,192.72,4,2,1,421,Potential Loyalist,0,0
19,23,4352.35,5,5,5,555,Champions,0,0
9,17,11126.11,5,5,5,555,Champions,0,0
498,3,973.73,1,3,3,133,At Risk,1,0
1,3,1316.66,5,3,4,534,Potential Loyalist,0,0
82,5,735.51,3,4,3,343,Regular Customers,0,0
9,6,1933.48,5,4,4,544,Loyal Customers,0,0
528,1,316.48,1,1,2,112,At Risk,1,0
