ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,18459.5889516664,10529.67600492209,41890.97474826805,18459.5889516664,18459.5889516664,8061.4942450798035,8061.4942450798035,8061.4942450798035,8061.4942450798035,8061.4942450798035,8061.4942450798035,0.0,0.0,0.0,26521.083196746204
2009-12-02,18479.181135661423,7202.209842934223,38568.47958194652,18479.181135661423,18479.181135661423,4702.881908664641,4702.881908664641,4702.881908664641,4702.881908664641,4702.881908664641,4702.881908664641,0.0,0.0,0.0,23182.063044326063
2009-12-03,18498.773319656448,14450.208960515447,47530.296779223514,18498.773319656448,18498.773319656448,11937.407009904455,11937.407009904455,11937.407009904455,11937.407009904455,11937.407009904455,11937.407009904455,0.0,0.0,0.0,30436.180329560902
2009-12-04,18518.365503651472,4332.390836479791,34717.81881773005,18518.365503651472,18518.365503651472,1156.1841805967638,1156.1841805967638,1156.1841805967638,1156.1841805967638,1156.1841805967638,1156.1841805967638,0.0,0.0,0.0,19674.549684248235
2009-12-05,18537.957687646496,-19000.998576472673,11199.707439408061,18537.957687646496,18537.957687646496,-22522.744569812454,-22522.744569812454,-22522.744569812454,-22522.744569812454,-22522.744569812454,-22522.744569812454,0.0,0.0,0.0,-3984.7868821659576
2009-12-06,18557.54987164152,-2717.028376135489,28566.246063130886,18557.54987164152,18557.54987164152,-6070.420039088557,-6070.420039088557,-6070.420039088557,-6070.420039088557,-6070.420039088557,-6070.420039088557,0.0,0.0,0.0,12487.129832552964
2009-12-07,18577.142055636545,5586.904120573619,36615.455391449905,18577.142055636545,18577.142055636545,2735.1972647194452,2735.1972647194452,2735.1972647194452,2735.1972647194452,2735.1972647194452,2735.1972647194452,0.0,0.0,0.0,21312.33932035599
2009-12-08,18596.734239631565,10303.66089609981,42217.1615464396,18596.734239631565,18596.734239631565,8061.494245091967,8061.494245091967,8061.494245091967,8061.494245091967,8061.494245091967,8061.494245091967,0.0,0.0,0.0,26658.22848472353
2009-12-09,18616.32642362659,7494.215026104792,39425.165237491296,18616.32642362659,18616.32642362659,4702.881908676325,4702.881908676325,4702.881908676325,4702.881908676325,4702.881908676325,4702.881908676325,0.0,0.0,0.0,23319.208332302915
2009-12-10,18635.918607621614,15212.840480306597,46713.54203290445,18635.918607621614,18635.918607621614,11937.407009870265,11937.407009870265,11937.407009870265,11937.407009870265,11937.407009870265,11937.407009870265,0.0,0.0,0.0,30573.32561749188
2009-12-11,18655.51079161664,5382.713067149189,34967.63993265457,18655.51079161664,18655.51079161664,1156.1841805854617,1156.1841805854617,1156.1841805854617,1156.1841805854617,1156.1841805854617,1156.1841805854617,0.0,0.0,0.0,19811.6949722021
2009-12-12,18675.102975611662,-19368.966652763294,12155.497112656467,18675.102975611662,18675.102975611662,-22522.74456980531,-22522.74456980531,-22522.74456980531,-22522.74456980531,-22522.74456980531,-22522.74456980531,0.0,0.0,0.0,-3847.6415941936466
2009-12-13,18694.695159606687,-2137.2212401526076,29140.478517572126,18694.695159606687,18694.695159606687,-6070.420039073147,-6070.420039073147,-6070.420039073147,-6070.420039073147,-6070.420039073147,-6070.420039073147,0.0,0.0,0.0,12624.27512053354
2009-12-14,18714.28734360171,5335.810828244525,38127.26107964318,18714.28734360171,18714.28734360171,2735.197264717527,2735.197264717527,2735.197264717527,2735.197264717527,2735.197264717527,2735.197264717527,0.0,0.0,0.0,21449.48460831924
2009-12-15,18733.87952759673,11147.574056148662,42291.511216993764,18733.87952759673,18733.87952759673,8061.494245093738,8061.494245093738,8061.494245093738,8061.494245093738,8061.494245093738,8061.494245093738,0.0,0.0,0.0,26795.37377269047
2009-12-16,18753.471711591756,7552.799878816676,38151.21235921194,18753.471711591756,18753.471711591756,4702.8819086729345,4702.8819086729345,4702.8819086729345,4702.8819086729345,4702.8819086729345,4702.8819086729345,0.0,0.0,0.0,23456.35362026469
2009-12-17,18773.06389558678,14429.107534322498,45853.162565471015,18773.06389558678,18773.06389558678,11937.407009864739,11937.407009864739,11937.407009864739,11937.407009864739,11937.407009864739,11937.407009864739,0.0,0.0,0.0,30710.47090545152
2009-12-18,18792.656079581804,3656.515565012528,36811.2023025057,18792.656079581804,18792.656079581804,1156.1841805741617,1156.1841805741617,1156.1841805741617,1156.1841805741617,1156.1841805741617,1156.1841805741617,0.0,0.0,0.0,19948.840260155965
2009-12-19,18812.24826357683,-20352.90992933355,11714.16971763919,18812.24826357683,18812.24826357683,-22522.744569798164,-22522.744569798164,-22522.744569798164,-22522.744569798164,-22522.744569798164,-22522.744569798164,0.0,0.0,0.0,-3710.4963062213355
2009-12-20,18831.840447571853,-1971.6740965093431,28976.487402962543,18831.840447571853,18831.840447571853,-6070.420039057737,-6070.420039057737,-6070.420039057737,-6070.420039057737,-6070.420039057737,-6070.420039057737,0.0,0.0,0.0,12761.420408514115
2009-12-21,18851.432631566877,5188.202055314763,37343.67656285009,18851.432631566877,18851.432631566877,2735.1972647196662,2735.1972647196662,2735.1972647196662,2735.1972647196662,2735.1972647196662,2735.1972647196662,0.0,0.0,0.0,21586.629896286544
2009-12-22,18871.024815561897,12237.42877800249,41638.99455780654,18871.024815561897,18871.024815561897,8061.494245085398,8061.494245085398,8061.494245085398,8061.494245085398,8061.494245085398,8061.494245085398,0.0,0.0,0.0,26932.519060647297
2009-12-23,18890.61699955692,9321.164859574954,40979.83872317215,18890.61699955692,18890.61699955692,4702.8819086573385,4702.8819086573385,4702.8819086573385,4702.8819086573385,4702.8819086573385,4702.8819086573385,0.0,0.0,0.0,23593.49890821426
2009-12-24,18910.20918355195,14567.137421774314,47242.182713084396,18910.20918355195,18910.20918355195,11937.407009857643,11937.407009857643,11937.407009857643,11937.407009857643,11937.407009857643,11937.407009857643,0.0,0.0,0.0,30847.616193409594
2009-12-25,18929.801371160785,4729.681315225713,36529.52817554041,18929.801371160785,18929.801371160785,1156.1841805384925,1156.1841805384925,1156.1841805384925,1156.1841805384925,1156.1841805384925,1156.1841805384925,0.0,0.0,0.0,20085.98555169928
2009-12-26,18949.393558769625,-19882.587789956746,12080.794934396929,18949.393558769625,18949.393558769625,-22522.744569793515,-22522.744569793515,-22522.744569793515,-22522.744569793515,-22522.744569793515,-22522.744569793515,0.0,0.0,0.0,-3573.3510110238894
2009-12-27,18968.98574637847,-2456.6707176639047,28269.99481598428,18968.98574637847,18968.98574637847,-6070.420039082816,-6070.420039082816,-6070.420039082816,-6070.420039082816,-6070.420039082816,-6070.420039082816,0.0,0.0,0.0,12898.565707295653
2009-12-28,18988.577933987304,5270.8557006013525,37242.12965020721,18988.577933987304,18988.577933987304,2735.197264717749,2735.197264717749,2735.197264717749,2735.197264717749,2735.197264717749,2735.197264717749,0.0,0.0,0.0,21723.775198705054
2009-12-29,19008.170121596148,10820.028691906566,42690.94658214679,19008.170121596148,19008.170121596148,8061.494245077064,8061.494245077064,8061.494245077064,8061.494245077064,8061.494245077064,8061.494245077064,0.0,0.0,0.0,27069.664366673212
2009-12-30,19027.762309204983,7957.623634487885,38569.06564842591,19027.762309204983,19027.762309204983,4702.8819086417425,4702.8819086417425,4702.8819086417425,4702.8819086417425,4702.8819086417425,4702.8819086417425,0.0,0.0,0.0,23730.644217846726
