StockCode,Description,TotalSales,AvgDailySales,Revenue,CurrentStock,LeadTime,SafetyStock,ReorderPoint,Status,ReorderQty
10002,INFLATABLE POLITICAL GLOBE ,8479,28.076158940397352,6638.2699999999995,122,10,197.0,478.0,Reorder,356.0
10080,GROOVY CACTUS INFLATABLE,303,11.222222222222221,124.60999999999999,290,12,79.0,214.0,Healthy,0.0
10109,BENDY COLOUR PENCILS,4,4.0,1.68,126,3,28.0,40.0,Overstock,0.0
10120,DOGGY RUBBER,648,10.451612903225806,136.07999999999998,91,4,73.0,115.0,Reorder,24.0
10125,MINI FUNKY DESIGN TAPES,1970,15.634920634920634,1562.7,208,12,109.0,297.0,Reorder,89.0
10133,COLOURING PENCILS BROWN TUBE,3307,16.29064039408867,1910.79,40,6,114.0,212.0,Reorder,172.0
10134,COLOURING PENCILS BROWN TUBE,612,12.24,702.3,122,7,86.0,172.0,Reorder,50.0
10135,COLOURING PENCILS BROWN TUBE,3887,15.424603174603174,4048.14,141,4,108.0,170.0,Reorder,29.0
10138,ASSORTED COLOUR JUMBO PEN,247,15.4375,103.74,234,3,108.0,154.0,Healthy,0.0
11001,ASSTD DESIGN RACING CAR PEN,4273,23.349726775956285,6608.8099999999995,107,11,163.0,420.0,Reorder,313.0
15030,FAN BLACK FRAME ,254,9.407407407407407,73.66,119,3,66.0,94.0,Healthy,0.0
15034,PAPER POCKET TRAVELING FAN ,9818,56.7514450867052,1156.1200000000001,171,6,397.0,738.0,Reorder,567.0
15036,ASSORTED COLOURS SILK FAN,40994,64.55748031496063,28766.32,150,4,452.0,710.0,Reorder,560.0
15039,SANDALWOOD FAN,4146,22.78021978021978,2848.9,169,13,159.0,455.0,Reorder,286.0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3141,36.95294117647059,422.96,277,6,259.0,481.0,Reorder,204.0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,32,8.0,3.84,211,10,56.0,136.0,Healthy,0.0
16011, ANIMAL STICKERS,385,32.083333333333336,80.85,296,10,225.0,546.0,Reorder,250.0
16011,ANIMAL STICKERS,3427,34.27,718.47,180,13,240.0,686.0,Reorder,506.0
16012,FOOD/DRINK SPONGE STICKERS,2118,33.61904761904762,444.78,41,14,235.0,706.0,Reorder,665.0
16012,FOOD/DRINK SPUNGE STICKERS,759,37.95,158.19,272,11,266.0,683.0,Reorder,411.0
16014,SMALL CHINESE STYLE SCISSOR,29354,319.0652173913044,9512.68,255,13,2233.0,6381.0,Reorder,6126.0
16015,MEDIUM CHINESE STYLE SCISSOR,1572,24.184615384615384,711.38,68,14,169.0,508.0,Reorder,440.0
16016,LARGE CHINESE STYLE SCISSOR,2307,21.97142857142857,1864.75,78,7,154.0,308.0,Reorder,230.0
16033,MINI HIGHLIGHTER PENS,15001,306.14285714285717,1530.12,189,9,2143.0,4898.0,Reorder,4709.0
16043,POP ART PUSH DOWN RUBBER ,2142,178.5,179.04,207,5,1250.0,2142.0,Reorder,1935.0
16044,POP-ART FLUORESCENT PENS,6192,3096.0,388.8,290,12,21672.0,58824.0,Reorder,58534.0
16045,POPART WOODEN PENCILS ASST,9300,127.3972602739726,428.0,209,6,892.0,1656.0,Reorder,1447.0
16046,TEATIME PEN CASE & PENS,9949,207.27083333333334,1043.53,194,12,1451.0,3938.0,Reorder,3744.0
16047,POP ART PEN CASE & PENS,10587,460.30434782608694,1015.59,70,11,3222.0,8285.0,Reorder,8215.0
16048,TEATIME ROUND PENCIL SHARPENER ,3413,48.75714285714286,498.65999999999997,74,12,341.0,926.0,Reorder,852.0
16049,TEATIME GEL PENS ASST,3144,125.76,542.88,263,12,880.0,2389.0,Reorder,2126.0
16050,TEATIME PENCIL WITH RUBBER,122,30.5,30.5,150,14,214.0,641.0,Reorder,491.0
16051,TEATIME PENCIL W STAMP ASST,938,312.6666666666667,82.2,154,3,2189.0,3127.0,Reorder,2973.0
16052,TEATIME PUSH DOWN RUBBER,810,38.57142857142857,249.35,40,4,270.0,424.0,Reorder,384.0
16053,POPART COL BALLPOINT PEN ASST,4298,537.25,182.58,186,7,3761.0,7522.0,Reorder,7336.0
16054,POPART RECT PENCIL SHARPENER ASST,1205,32.567567567567565,156.9,293,5,228.0,391.0,Reorder,98.0
16119,FUNKY GIRL ADDRESS BOOK,271,38.714285714285715,128.21,108,4,271.0,426.0,Reorder,318.0
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,357,10.5,232.05,33,3,74.0,106.0,Reorder,73.0
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,2.6666666666666665,5.2,261,12,19.0,51.0,Overstock,0.0
16216,LETTER SHAPE PENCIL SHARPENER,4135,52.34177215189873,358.18,284,5,366.0,628.0,Reorder,344.0
16218,CARTOON  PENCIL SHARPENERS,4525,64.64285714285714,375.6,72,3,452.0,646.0,Reorder,574.0
16219,HOUSE SHAPE PENCIL SHARPENER,3206,48.57575757575758,371.01,111,14,340.0,1020.0,Reorder,909.0
16225,RATTLE SNAKE EGGS,1420,12.56637168141593,1078.64,283,3,88.0,126.0,Overstock,0.0
16235,RECYCLED PENCIL WITH RABBIT ERASER,5088,31.024390243902438,1031.58,54,14,217.0,651.0,Reorder,597.0
16236,KITTY PENCIL ERASERS,2425,16.496598639455783,503.65,225,3,115.0,164.0,Healthy,0.0
16237,SLEEPING CAT ERASERS,9730,28.202898550724637,1959.3,100,10,197.0,479.0,Reorder,379.0
16238,PARTY TIME PENCIL ERASERS,2232,16.41176470588235,469.42,69,5,115.0,197.0,Reorder,128.0
16239,BALLERINA HEART DECORATION.,338,26.0,468.4,21,13,182.0,520.0,Reorder,499.0
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,912,45.6,258.36,73,3,319.0,456.0,Reorder,383.0
16259,PIECE OF CAMO STATIONERY SET,5473,99.50909090909092,766.09,125,9,697.0,1593.0,Reorder,1468.0
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1211,52.65217391304348,299.34999999999997,279,12,369.0,1001.0,Reorder,722.0
17003,BROCADE RING PURSE ,70082,178.32569974554707,14640.96,210,5,1248.0,2140.0,Reorder,1930.0
17021,NAMASTE SWAGAT INCENSE,3714,45.292682926829265,982.4399999999999,237,10,317.0,770.0,Reorder,533.0
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3279,48.220588235294116,867.55,63,6,338.0,627.0,Reorder,564.0
17038,PORCELAIN BUDAH INCENSE HOLDER,2524,84.13333333333334,225.4,181,6,589.0,1094.0,Reorder,913.0
17039,INLAID WOOD INCENSE HOLDER,3641,121.36666666666666,813.0899999999999,221,7,850.0,1700.0,Reorder,1479.0
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,52.0,2.08,289,8,364.0,780.0,Reorder,491.0
17096,ASSORTED LAQUERED INCENSE HOLDERS,6157,175.9142857142857,1081.65,290,9,1231.0,2814.0,Reorder,2524.0
17174,ASSTD RASTA KEY-CHAINS,36,5.142857142857143,15.120000000000001,234,6,36.0,67.0,Overstock,0.0
17178,FLAT PALM T-LIGHT HOLDER,133,5.32,156.65,271,10,37.0,90.0,Overstock,0.0
